stage_name,stage_date,stage_length,stage_GC_rank,stage_GC_rider,stage_GC_time,stage_GC_team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),1,EVENEPOEL Remco ,0:21:18,Soudal - Quick Step
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),2,GANNA Filippo ,0:22,INEOS Grenadiers
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),3,ALMEIDA João ,0:29,UAE Team Emirates
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),4,GEOGHEGAN HART Tao ,0:40,INEOS Grenadiers
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),5,KÜNG Stefan ,0:43,Groupama - FDJ
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),6,ROGLIČ Primož ,",,",Jumbo-Visma
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),7,VINE Jay ,0:46,UAE Team Emirates
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),8,MCNULTY Brandon ,0:48,UAE Team Emirates
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),9,THOMAS Geraint ,0:55,INEOS Grenadiers
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),10,VLASOV Aleksandr ,",,",BORA - hansgrohe
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),11,ARMIRAIL Bruno ,0:57,Groupama - FDJ
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),12,PEDERSEN Mads ,1:02,Trek - Segafredo
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),13,MATTHEWS Michael ,1:09,Team Jayco AlUla
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),14,HEPBURN Michael ,",,",Team Jayco AlUla
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),15,BARTA Will ,1:11,Movistar Team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),16,VAN WILDER Ilan ,1:12,Soudal - Quick Step
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),17,DE BOD Stefan ,1:14,EF Education-EasyPost
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),18,HOOLE Daan ,1:17,Trek - Segafredo
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),19,SIVAKOV Pavel ,1:18,INEOS Grenadiers
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),20,LEKNESSUND Andreas ,",,",Team DSM
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),21,CATTANEO Mattia ,1:23,Soudal - Quick Step
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),22,KÄMNA Lennard ,",,",BORA - hansgrohe
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),23,DENZ Nico ,",,",BORA - hansgrohe
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),24,DUNBAR Eddie ,1:25,Team Jayco AlUla
