stage_name,stage_date,stage_length,stage_KOM_rank,stage_KOM_name,stage_KOM_team,stage_KOM_points
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),1,GEOGHEGAN HART Tao,INEOS Grenadiers,3
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),2,ALMEIDA João,UAE Team Emirates,2
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),3,MAYRHOFER Marius,Team DSM,1
Stage 2 | Teramo - San Salvo,07/05,(202k),1,LAPEIRA Paul,AG2R Citroën Team,6
Stage 2 | Teramo - San Salvo,07/05,(202k),2,CHAMPION Thomas,Cofidis,4
Stage 2 | Teramo - San Salvo,07/05,(202k),3,GEOGHEGAN HART Tao,INEOS Grenadiers,3
Stage 2 | Teramo - San Salvo,07/05,(202k),4,ALMEIDA João,UAE Team Emirates,2
Stage 2 | Teramo - San Salvo,07/05,(202k),5,BAIS Mattia,EOLO-Kometa,2
Stage 2 | Teramo - San Salvo,07/05,(202k),6,MAYRHOFER Marius,Team DSM,1
Stage 3 | Vasto - Melfi,08/05,(213k),1,PINOT Thibaut,Groupama - FDJ,12
Stage 3 | Vasto - Melfi,08/05,(213k),2,LAPEIRA Paul,AG2R Citroën Team,6
Stage 3 | Vasto - Melfi,08/05,(213k),3,BUITRAGO Santiago,Bahrain - Victorious,4
Stage 3 | Vasto - Melfi,08/05,(213k),4,CHAMPION Thomas,Cofidis,4
Stage 3 | Vasto - Melfi,08/05,(213k),5,GEOGHEGAN HART Tao,INEOS Grenadiers,3
Stage 3 | Vasto - Melfi,08/05,(213k),6,ALMEIDA João,UAE Team Emirates,2
Stage 3 | Vasto - Melfi,08/05,(213k),7,DE PLUS Laurens,INEOS Grenadiers,2
Stage 3 | Vasto - Melfi,08/05,(213k),8,SCOTSON Callum,Team Jayco AlUla,2
Stage 3 | Vasto - Melfi,08/05,(213k),9,BAIS Mattia,EOLO-Kometa,2
Stage 3 | Vasto - Melfi,08/05,(213k),10,DUNBAR Eddie,Team Jayco AlUla,1
Stage 3 | Vasto - Melfi,08/05,(213k),11,SIVAKOV Pavel,INEOS Grenadiers,1
Stage 3 | Vasto - Melfi,08/05,(213k),12,MAYRHOFER Marius,Team DSM,1
