"stage_name","stage_date","stage_start","stage_avg_speed","stage_distance","stage_profile_score","stage_elevation","stage_avg_temperature","stage_departure","stage_arrival"
"Stage 1 (ITT) | Fossacesia Marina - Ortona","06 May 2023","13:50","55.211 km/h","19.6 km","11","171","24 °C","Fossacesia Marina","Ortona"
"Stage 2 | Teramo - San Salvo","07 May 2023","12:30","41.059 km/h","202 km","51","1831","23 °C","Teramo","San Salvo"
"Stage 3 | Vasto - Melfi","08 May 2023","12:00","42.362 km/h","213 km","92","1777","20 °C","Vasto","Melfi"
"Stage 4 | Venosa - Lago Laceno","09 May 2023","12:45","41.005 km/h","175 km","207","3667","16 °C","Venosa","Lago Laceno"
"Stage 5 | Atripalda - Salerno","10 May 2023","12:55","37.955 km/h","171 km","77","2529","15 °C","Atripalda","Salerno"
"Stage 6 | Napoli - Napoli","11 May 2023","13:15","43.248 km/h","162 km","92","2581","19 °C","Napoli","Napoli"
"Stage 7 | Capua - Gran Sasso d'Italia (Campo Imperatore)","12 May 2023","11:20","35.479 km/h","218 km","253","4143","14 °C","Capua","Gran Sasso d'Italia (Campo Imperatore)"
"Stage 8 | Terni - Fossombrone","13 May 2023","12:00","43.671 km/h","207 km","180","2790","16 °C","Terni","Fossombrone"
"Stage 9 (ITT) | Savignano sul Rubicone - Cesena","14 May 2023","13:15","50.725 km/h","35 km","0","84","14 °C","Savignano sul Rubicone","Cesena"
"Stage 10 | Scandiano - Viareggio","16 May 2023","12:20","40.378 km/h","196 km","76","3020","11 °C","Scandiano","Viareggio"
"Stage 11 | Camaiore - Tortona","17 May 2023","11:45","42.52 km/h","219 km","60","2430","15 °C","Camaiore","Tortona"
"Stage 12 | Bra - Rivoli","18 May 2023","12:40","42.993 km/h","185 km","112","2348","15 °C","Bra","Rivoli"
"Stage 13 | Le Châble - Crans-Montana","19 May 2023","15:00","32.827 km/h","74.6 km","283","2456","12 °C","Le Châble","Crans-Montana"
"Stage 14 | Sierre - Cassano Magnago","20 May 2023","12:15","41.946 km/h","194 km","68","2336","13 °C","Sierre","Cassano Magnago"
"Stage 15 | Seregno - Bergamo","21 May 2023","11:55","37.303 km/h","195 km","202","4040","20 °C","Seregno","Bergamo"
"Stage 16 | Sabbio Chiese - Monte Bondone","23 May 2023","11:05","34.46 km/h","203 km","456","5852","23 °C","Sabbio Chiese","Monte Bondone"
"Stage 17 | Pergine Valsugana - Caorle","24 May 2023","12:50","44.414 km/h","197 km","5","523","24 °C","Pergine Valsugana","Caorle"
"Stage 18 | Oderzo - Val di Zoldo (Palafavera)","25 May 2023","12:30","36.425 km/h","161 km","362","4153","21 °C","Oderzo","Val di Zoldo (Palafavera)"
"Stage 19 | Longarone - Tre Cime di Lavaredo","26 May 2023","11:50","33.464 km/h","183 km","478","5423","18 °C","Longarone","Tre Cime di Lavaredo"
"Stage 20 (ITT) | Tarvisio - Monte Lussari","27 May 2023","11:30","25.145 km/h","18.6 km","197","1070","18 °C","Tarvisio","Monte Lussari"
"Stage 21 | Roma - Roma","28 May 2023","15:30","44.884 km/h","126 km","21","692","26 °C","Roma","Roma"
